Entity,Code,Year,"Civil liberties index (best estimate, aggregate: average)"
Spain,ESP,2002,0.962
Spain,ESP,2003,0.959
Spain,ESP,2004,0.96
Spain,ESP,2005,0.96
Spain,ESP,2006,0.96
Spain,ESP,2007,0.959
Spain,ESP,2008,0.959
Spain,ESP,2009,0.959
Spain,ESP,2010,0.959
Spain,ESP,2011,0.96
Spain,ESP,2012,0.959
Spain,ESP,2013,0.957
Spain,ESP,2014,0.956
Spain,ESP,2015,0.949
Spain,ESP,2016,0.949
Spain,ESP,2017,0.946
Spain,ESP,2018,0.949
Spain,ESP,2019,0.953
Spain,ESP,2020,0.942
Spain,ESP,2021,0.938
Spain,ESP,2022,0.951
Spain,ESP,2023,0.948
Spain,ESP,2024,0.948
United States,USA,1900,0.739
United States,USA,1901,0.739
United States,USA,1902,0.739
United States,USA,1903,0.739
United States,USA,1904,0.739
United States,USA,1905,0.739
United States,USA,1906,0.739
United States,USA,1907,0.739
United States,USA,1908,0.739
United States,USA,1909,0.739
United States,USA,1910,0.734
United States,USA,1911,0.734
United States,USA,1912,0.734
United States,USA,1913,0.734
United States,USA,1914,0.736
United States,USA,1915,0.736
United States,USA,1916,0.732
United States,USA,1917,0.718
United States,USA,1918,0.707
United States,USA,1919,0.717
United States,USA,1920,0.731
United States,USA,1921,0.728
United States,USA,1922,0.731
United States,USA,1923,0.731
United States,USA,1924,0.731
United States,USA,1925,0.731
United States,USA,1926,0.731
United States,USA,1927,0.731
United States,USA,1928,0.731
United States,USA,1929,0.731
United States,USA,1930,0.731
United States,USA,1931,0.739
United States,USA,1932,0.744
United States,USA,1933,0.762
United States,USA,1934,0.763
United States,USA,1935,0.761
United States,USA,1936,0.761
United States,USA,1937,0.761
United States,USA,1938,0.761
United States,USA,1939,0.75
United States,USA,1940,0.741
United States,USA,1941,0.728
United States,USA,1942,0.724
United States,USA,1943,0.725
United States,USA,1944,0.725
United States,USA,1945,0.728
United States,USA,1946,0.761
United States,USA,1947,0.773
United States,USA,1948,0.77
United States,USA,1949,0.778
United States,USA,1950,0.769
United States,USA,1951,0.769
United States,USA,1952,0.769
United States,USA,1953,0.769
United States,USA,1954,0.77
United States,USA,1955,0.773
United States,USA,1956,0.776
United States,USA,1957,0.782
United States,USA,1958,0.789
United States,USA,1959,0.789
United States,USA,1960,0.797
United States,USA,1961,0.799
United States,USA,1962,0.798
United States,USA,1963,0.798
United States,USA,1964,0.804
United States,USA,1965,0.814
United States,USA,1966,0.825
United States,USA,1967,0.825
United States,USA,1968,0.843
United States,USA,1969,0.862
United States,USA,1970,0.886
United States,USA,1971,0.885
United States,USA,1972,0.895
United States,USA,1973,0.9
United States,USA,1974,0.903
United States,USA,1975,0.91
United States,USA,1976,0.916
United States,USA,1977,0.92
United States,USA,1978,0.922
United States,USA,1979,0.924
United States,USA,1980,0.928
United States,USA,1981,0.94
United States,USA,1982,0.94
United States,USA,1983,0.939
United States,USA,1984,0.939
United States,USA,1985,0.939
United States,USA,1986,0.942
United States,USA,1987,0.943
United States,USA,1988,0.943
United States,USA,1989,0.943
United States,USA,1990,0.948
United States,USA,1991,0.946
United States,USA,1992,0.948
United States,USA,1993,0.948
United States,USA,1994,0.948
United States,USA,1995,0.948
United States,USA,1996,0.948
United States,USA,1997,0.948
United States,USA,1998,0.948
United States,USA,1999,0.948
United States,USA,2000,0.947
United States,USA,2001,0.946
United States,USA,2002,0.933
United States,USA,2003,0.904
United States,USA,2004,0.905
United States,USA,2005,0.922
United States,USA,2006,0.913
United States,USA,2007,0.922
United States,USA,2008,0.939
United States,USA,2009,0.95
United States,USA,2010,0.952
United States,USA,2011,0.95
United States,USA,2012,0.95
United States,USA,2013,0.952
United States,USA,2014,0.952
United States,USA,2015,0.952
United States,USA,2016,0.949
United States,USA,2017,0.941
United States,USA,2018,0.933
United States,USA,2019,0.927
United States,USA,2020,0.913
United States,USA,2021,0.937
United States,USA,2022,0.942
United States,USA,2023,0.926
United States,USA,2024,0.924
World,OWID_WRL,1900,0.40776423
World,OWID_WRL,1901,0.408439
World,OWID_WRL,1902,0.40976614
World,OWID_WRL,1903,0.4108504
World,OWID_WRL,1904,0.40930232
World,OWID_WRL,1905,0.41087598
World,OWID_WRL,1906,0.41455385
World,OWID_WRL,1907,0.41492307
World,OWID_WRL,1908,0.41566154
World,OWID_WRL,1909,0.41656154
World,OWID_WRL,1910,0.4134351
World,OWID_WRL,1911,0.4087239
World,OWID_WRL,1912,0.40923703
World,OWID_WRL,1913,0.4087852
World,OWID_WRL,1914,0.4025809
World,OWID_WRL,1915,0.3998603
World,OWID_WRL,1916,0.39315107
World,OWID_WRL,1917,0.39303598
World,OWID_WRL,1918,0.4025034
World,OWID_WRL,1919,0.4121419
World,OWID_WRL,1920,0.4169404
World,OWID_WRL,1921,0.42014
World,OWID_WRL,1922,0.41755554
World,OWID_WRL,1923,0.41571894
World,OWID_WRL,1924,0.41667974
World,OWID_WRL,1925,0.41486928
World,OWID_WRL,1926,0.41270587
World,OWID_WRL,1927,0.41048366
World,OWID_WRL,1928,0.4102353
World,OWID_WRL,1929,0.41037256
World,OWID_WRL,1930,0.4083464
World,OWID_WRL,1931,0.40826797
World,OWID_WRL,1932,0.40908554
World,OWID_WRL,1933,0.40273026
World,OWID_WRL,1934,0.39805922
World,OWID_WRL,1935,0.39786842
World,OWID_WRL,1936,0.39521053
World,OWID_WRL,1937,0.39275
World,OWID_WRL,1938,0.39203948
World,OWID_WRL,1939,0.38301325
World,OWID_WRL,1940,0.35837838
World,OWID_WRL,1941,0.3502282
World,OWID_WRL,1942,0.34994593
World,OWID_WRL,1943,0.34931082
World,OWID_WRL,1944,0.34972483
World,OWID_WRL,1945,0.38057047
World,OWID_WRL,1946,0.42092666
World,OWID_WRL,1947,0.4244079
World,OWID_WRL,1948,0.41907743
World,OWID_WRL,1949,0.41886538
World,OWID_WRL,1950,0.42645162
World,OWID_WRL,1951,0.42770514
World,OWID_WRL,1952,0.42871153
World,OWID_WRL,1953,0.42830127
World,OWID_WRL,1954,0.4292372
World,OWID_WRL,1955,0.42767948
World,OWID_WRL,1956,0.431
World,OWID_WRL,1957,0.43608975
World,OWID_WRL,1958,0.4401346
World,OWID_WRL,1959,0.44271794
World,OWID_WRL,1960,0.45949033
World,OWID_WRL,1961,0.4605
World,OWID_WRL,1962,0.46153846
World,OWID_WRL,1963,0.46408334
World,OWID_WRL,1964,0.46137822
World,OWID_WRL,1965,0.45983332
World,OWID_WRL,1966,0.45984617
World,OWID_WRL,1967,0.45566666
World,OWID_WRL,1968,0.45041665
World,OWID_WRL,1969,0.44429487
World,OWID_WRL,1970,0.44434616
World,OWID_WRL,1971,0.43975317
World,OWID_WRL,1972,0.43813923
World,OWID_WRL,1973,0.43273416
World,OWID_WRL,1974,0.43513292
World,OWID_WRL,1975,0.43984178
World,OWID_WRL,1976,0.4416879
World,OWID_WRL,1977,0.44399363
World,OWID_WRL,1978,0.44619107
World,OWID_WRL,1979,0.4551019
World,OWID_WRL,1980,0.46522292
World,OWID_WRL,1981,0.46515286
World,OWID_WRL,1982,0.46398726
World,OWID_WRL,1983,0.4686242
World,OWID_WRL,1984,0.47326753
World,OWID_WRL,1985,0.48238853
World,OWID_WRL,1986,0.4907261
World,OWID_WRL,1987,0.49776432
World,OWID_WRL,1988,0.50399363
World,OWID_WRL,1989,0.51307595
World,OWID_WRL,1990,0.5760465
World,OWID_WRL,1991,0.60475725
World,OWID_WRL,1992,0.6232874
World,OWID_WRL,1993,0.6337486
World,OWID_WRL,1994,0.6398572
World,OWID_WRL,1995,0.6472629
World,OWID_WRL,1996,0.6506857
World,OWID_WRL,1997,0.65026283
World,OWID_WRL,1998,0.6543977
World,OWID_WRL,1999,0.65876836
World,OWID_WRL,2000,0.6731299
World,OWID_WRL,2001,0.67671186
World,OWID_WRL,2002,0.68284184
World,OWID_WRL,2003,0.68809605
World,OWID_WRL,2004,0.6920113
World,OWID_WRL,2005,0.69451976
World,OWID_WRL,2006,0.6944181
World,OWID_WRL,2007,0.6927303
World,OWID_WRL,2008,0.6937528
World,OWID_WRL,2009,0.69374716
World,OWID_WRL,2010,0.6995225
World,OWID_WRL,2011,0.7011397
World,OWID_WRL,2012,0.7017933
World,OWID_WRL,2013,0.6959609
World,OWID_WRL,2014,0.6925475
World,OWID_WRL,2015,0.691324
World,OWID_WRL,2016,0.6857095
World,OWID_WRL,2017,0.6843911
World,OWID_WRL,2018,0.68417317
World,OWID_WRL,2019,0.6844358
World,OWID_WRL,2020,0.67482126
World,OWID_WRL,2021,0.66730726
World,OWID_WRL,2022,0.6652235
World,OWID_WRL,2023,0.66351396
World,OWID_WRL,2024,0.6554916
